sub#,A1.我想我自己是健談的,A2.我想我自己是傾向挑人毛病,A3. 我想我自己是會貫徹始終把事情做完,A4.我想我自己是憂鬱的,A5.我想我自己是會創新、有新想法,A6.我想我自己是沉默寡言,A7.我想我自己是樂於助人且無私的,A8.我想我自己是有點粗心,A9.我想我自己是放鬆的，善於處理壓力,A10.我想我自己是會對許多不同事物感到好奇,A11.我想我自己是充滿活力,A12.我想我自己是會開啟與他人的爭執,A13.我想我自己是可信賴的工作者,A14.我想我自己是緊張的,A15.我想我自己是聰明的、會深思的人,A16.我想我自己是有非常多熱情,A17.我想我自己是有寬容本質,A18.我想我自己是較沒有條理組織的,A19.我想我自己是擔心很多的,A20.我想我自己是具有生動想像力,A21.我想我自己是較安靜的,A22.我想我自己是通常容易信賴他人,A23.我想我自己是較懶散的,A24.我想我自己是情緒上穩定、不容易煩躁,A25.我想我自己是有創造力的,A26.我想我自己是有果決個性的,A27.我想我自己是對他人冷漠及疏離的,A28.我想我自己是會堅持到工作完成,A29.我想我自己是情緒不穩定的,A30.我想我自己是重視藝術及美學經驗,A31.我想我自己是有時會害羞、退縮的,A32.我想我自己是幾乎對所有人體貼且仁慈的,A33.我想我自己是做事有效率的,A34.我想我自己是在緊張情境也能保持冷靜,A35.我想我自己是偏好例行性工作,A36.我想我自己是喜歡外出、好社交的,A37.我想我自己是有時會粗魯對待他人,A38.我想我自己是會訂計畫並依計畫執行,A39.我想我自己是容易感到緊張的,A40.我想我自己是喜歡思考、常有想法,A41.我想我自己是對於藝術興趣很低,A42.我想我自己是喜歡與他人合作,A43.我想我自己是易於分心的,A44.我想我自己是懂得藝術、音樂和文學
sub-01,3,2,4,2,4,4,4,4,4,5,2,2,4,3,4,1,4,2,2,4,4,4,4,4,4,4,2,4,2,5,4,3,4,4,1,1,2,1,2,4,1,2,2,5
sub-02,2,3,4,3,5,3,2,4,3,5,3,3,5,3,4,3,3,2,4,5,4,4,3,3,5,3,4,5,4,5,4,3,3,4,3,2,1,3,4,5,1,2,3,5
sub-03,4,4,5,2,2,3,4,2,3,3,2,1,5,4,5,4,5,2,4,3,3,2,1,4,2,2,3,5,2,4,2,4,4,5,4,2,2,4,4,4,1,4,2,5
sub-04,3,2,4,2,1,3,5,2,4,4,4,1,4,4,4,3,5,2,4,1,3,4,2,1,1,1,3,4,2,4,5,5,4,3,5,1,3,3,4,2,2,3,4,2
sub-05,3,4,4,3,2,2,2,4,5,4,3,3,4,3,4,3,3,4,4,2,2,5,5,1,2,3,3,5,5,1,4,2,4,3,5,2,5,4,4,4,5,2,4,1
sub-06,2,2,3,4,3,3,4,4,3,4,3,2,4,4,3,2,4,2,4,3,4,4,4,3,3,3,2,3,2,3,4,4,3,3,4,3,1,3,4,3,3,3,4,3
sub-07,5,2,2,2,5,1,4,4,2,5,5,1,4,4,5,5,5,3,5,5,2,1,4,1,4,3,1,3,4,5,2,5,2,4,4,5,1,1,3,5,1,5,5,5
sub-08,5,4,4,2,4,1,4,2,4,5,5,3,4,3,4,4,3,2,4,4,1,2,3,3,4,4,2,4,2,3,3,3,4,4,2,5,3,4,4,4,3,4,4,3
sub-09,4,1,5,1,4,3,5,4,5,4,4,1,3,3,4,2,4,2,1,3,3,5,3,4,4,5,2,5,1,5,5,5,4,3,4,2,3,2,3,5,1,3,3,4
sub-10,3,2,4,3,4,2,4,3,3,4,3,2,4,4,4,3,4,2,5,4,3,4,2,3,3,2,2,4,2,3,3,4,4,3,4,2,2,3,4,3,3,4,2,3
sub-11,4,3,5,3,4,4,3,2,4,2,4,1,4,3,4,2,4,1,4,2,4,2,2,5,4,5,4,5,2,4,5,3,4,3,4,2,2,4,3,4,1,4,3,3
sub-12,3,3,2,2,2,2,3,4,3,4,3,2,3,4,3,3,3,4,5,3,4,4,4,3,2,2,4,2,3,4,4,3,3,3,4,2,4,2,4,2,3,2,4,3
sub-13,4,3,4,2,2,3,3,4,4,4,2,2,4,2,3,2,3,2,3,2,4,3,2,4,2,3,4,4,2,4,4,4,3,3,4,2,2,4,4,4,2,4,2,2
sub-14,5,4,2,2,4,2,2,4,5,5,4,2,2,2,4,2,4,2,4,5,2,4,4,5,5,2,2,2,2,4,4,2,4,4,2,4,2,4,4,5,2,2,4,4
sub-15,2,2,4,4,3,4,3,3,2,3,2,1,3,4,4,2,4,2,4,3,4,4,3,2,3,2,4,4,4,4,4,4,3,2,3,2,3,3,4,3,2,3,3,4
sub-16,4,3,4,3,4,4,5,3,3,5,3,2,4,3,3,2,5,2,4,4,4,3,3,4,4,3,3,4,2,5,4,5,3,4,3,3,4,4,3,4,1,4,2,5
sub-17,4,2,2,2,2,1,4,5,4,4,4,4,3,2,2,4,4,4,2,3,1,4,4,2,2,2,2,4,4,5,4,4,2,3,2,5,4,2,2,3,1,5,4,5
sub-18,4,4,3,2,5,3,3,4,4,5,5,3,4,4,4,4,3,2,3,4,5,5,4,3,5,2,3,4,2,3,5,4,3,2,5,4,4,4,4,5,4,4,4,3
sub-19,3,2,1,3,2,4,2,3,3,5,3,2,3,4,3,2,3,4,4,4,3,4,5,3,3,2,4,3,3,3,4,2,2,3,2,2,3,1,3,4,2,2,4,3
sub-20,3,2,3,3,3,4,4,4,3,4,2,2,3,2,4,2,3,2,4,2,4,1,3,4,2,2,3,3,2,4,4,4,3,4,3,3,4,4,3,5,1,4,3,4
sub-21,4,3,4,4,3,3,4,4,3,4,4,2,3,4,3,4,4,3,4,4,3,3,3,4,3,4,3,4,2,3,4,3,3,3,3,3,2,4,4,3,2,4,3,4
sub-22,3,4,5,3,3,3,4,3,3,4,3,2,3,3,3,2,3,2,3,3,4,3,3,3,3,4,3,5,2,3,3,4,3,3,2,3,2,4,4,5,3,3,2,4
sub-23,2,2,4,2,4,2,4,4,3,4,3,1,4,4,4,2,4,4,4,4,4,4,4,3,4,2,2,4,3,4,4,4,3,2,4,2,4,3,4,4,2,3,4,4
sub-24,3,4,4,3,3,4,5,5,3,4,3,1,4,4,3,3,5,2,3,3,4,5,3,4,2,2,2,4,3,5,5,4,4,2,4,3,2,4,5,4,1,4,4,5
sub-25,2,4,2,4,3,4,3,5,3,4,3,1,4,4,5,2,4,4,5,4,5,3,4,2,3,4,4,3,4,3,4,3,3,4,2,1,2,1,5,4,3,4,5,2
sub-26,4,5,3,1,4,1,3,4,1,4,3,4,4,5,4,4,4,2,5,4,3,4,4,5,5,3,2,4,3,4,4,3,4,4,3,4,4,3,5,4,1,3,3,4
sub-27,5,4,4,3,3,2,3,2,4,3,4,4,5,3,5,4,3,2,4,3,3,3,1,3,2,3,3,4,2,4,2,2,4,4,4,4,2,4,3,5,1,3,3,4
sub-28,4,1,3,3,5,3,3,4,2,4,3,2,3,4,5,4,4,4,5,5,4,4,4,2,4,2,3,4,4,4,4,4,4,4,2,3,4,2,4,4,2,3,5,4
sub-29,4,3,3,2,4,2,3,4,3,4,4,2,4,3,4,4,4,3,5,3,3,4,3,2,4,2,2,4,2,2,3,3,3,2,4,5,3,2,3,4,3,4,3,4
sub-30,3,4,4,5,5,4,5,1,1,5,4,2,5,5,5,5,3,1,5,5,3,4,2,2,5,2,2,4,4,5,5,4,3,2,1,4,5,3,5,5,1,4,3,5
sub-31,4,4,5,3,4,2,4,3,2,4,4,3,4,4,3,4,4,2,5,4,2,4,3,2,4,1,3,5,2,4,5,3,4,3,4,2,2,4,5,3,2,3,4,4
sub-32,2,3,4,2,4,4,3,4,2,4,2,1,3,4,4,2,3,2,4,4,5,3,3,3,3,1,5,3,2,4,5,3,3,2,3,2,3,2,5,4,2,3,4,4
sub-33,1,2,4,2,3,5,2,2,5,4,1,1,3,4,4,1,5,3,5,3,5,4,2,3,3,2,4,5,1,5,5,4,3,2,5,2,1,2,5,5,1,2,5,5
sub-34,2,5,4,3,2,3,2,2,2,2,2,4,5,5,3,3,2,1,5,2,5,2,3,2,2,2,2,5,5,2,5,2,4,1,5,3,4,4,5,2,3,2,5,2
sub-35,2,2,2,4,2,4,4,4,1,4,2,2,3,2,2,2,4,2,4,2,4,4,4,4,2,2,2,2,2,3,4,4,2,2,4,2,2,2,4,2,2,4,4,4
sub-36,2,4,3,4,3,4,4,4,4,3,4,2,4,3,4,3,5,2,5,4,4,3,4,3,3,4,4,4,3,5,4,4,4,4,5,2,2,4,4,4,1,4,4,4
sub-37,2,2,2,3,5,4,2,4,2,5,2,1,4,4,5,3,4,2,4,5,5,5,2,2,5,1,2,4,4,5,5,5,3,2,1,2,1,2,4,4,1,2,5,4
sub-38,2,2,4,1,3,2,4,3,4,4,4,1,5,4,4,4,4,2,1,1,5,3,4,4,4,4,2,4,1,2,4,4,3,4,4,2,4,4,4,4,3,5,3,2
sub-39,2,2,4,2,4,4,4,4,2,5,3,1,4,4,2,3,4,2,4,3,4,4,5,2,4,1,1,4,3,2,4,4,3,2,4,4,4,4,4,4,5,4,3,1
sub-40,1,2,4,2,2,5,3,3,4,2,2,1,3,3,4,2,3,2,3,1,5,2,4,4,1,4,5,3,2,1,4,3,4,4,5,1,4,5,2,3,5,2,3,1
sub-41,3,3,4,2,2,4,3,3,3,4,3,1,4,2,3,3,4,2,4,2,4,3,3,4,3,2,3,4,1,1,4,5,3,4,3,4,1,4,3,3,5,3,3,2
sub-42,4,4,2,1,4,1,4,4,3,5,4,2,4,4,5,4,5,4,4,4,1,4,4,3,4,2,1,2,2,2,4,4,2,4,4,4,2,2,4,5,4,4,4,2
sub-43,4,2,4,3,3,2,4,4,2,3,4,2,4,4,2,3,4,2,2,3,2,4,4,3,3,4,2,4,3,2,4,4,4,4,4,4,4,4,4,3,4,3,4,4
sub-44,4,3,4,2,4,2,4,4,3,5,5,3,4,3,3,4,4,3,3,3,2,4,4,3,3,2,2,4,3,3,3,4,3,3,2,4,3,3,3,3,3,4,4,2
sub-45,3,3,3,2,2,4,4,4,3,4,4,2,3,3,2,3,4,3,3,2,4,4,4,3,2,4,2,4,3,2,4,4,3,4,3,3,4,4,4,3,4,4,4,2
sub-50,4,2,3,2,2,2,4,4,4,4,4,3,5,2,4,3,4,5,4,2,3,4,5,3,3,2,2,4,3,2,5,4,5,5,5,1,4,2,2,5,4,2,4,3
sub-51,4,5,5,5,4,3,2,2,1,4,2,5,5,5,5,2,3,2,5,4,3,1,2,2,4,5,4,5,4,3,4,1,5,4,3,2,3,4,5,5,2,1,3,4
sub-52,2,4,2,3,4,4,2,5,4,5,2,2,2,3,4,2,4,1,2,4,4,3,4,4,4,2,4,3,2,2,5,2,4,2,1,1,4,1,3,4,3,1,2,3
sub-53,4,3,5,2,4,2,5,4,4,5,5,2,4,4,4,5,4,2,4,4,2,5,2,4,4,2,2,4,1,3,5,5,5,4,4,5,4,4,4,5,2,5,4,4
sub-54,3,2,5,2,3,4,3,4,2,5,3,1,4,4,3,4,4,2,4,4,4,4,4,2,4,4,3,5,3,5,4,4,4,2,4,4,3,4,4,4,1,3,3,5
sub-55,1,1,4,2,2,5,4,2,3,4,2,1,3,4,3,2,4,1,5,2,5,3,2,5,2,4,4,5,2,2,4,4,4,2,5,2,1,5,4,3,5,1,4,1
sub-56,2,5,2,2,3,3,1,5,4,4,2,2,4,3,3,2,2,4,3,3,3,1,5,1,2,2,4,3,4,4,4,2,3,3,1,3,4,2,3,3,2,3,4,4
sub-57,4,3,2,4,5,1,5,5,3,5,4,2,3,4,2,5,4,4,3,5,1,5,4,2,5,3,1,4,4,4,5,2,2,4,2,5,4,3,5,4,2,4,4,2
sub-58,4,4,5,3,3,4,4,3,4,2,3,2,4,4,4,3,4,2,5,2,4,4,3,3,2,4,2,4,2,2,2,3,4,4,2,2,2,4,3,3,4,4,4,1
sub-59,2,2,4,3,4,2,3,3,3,4,3,1,4,2,4,2,3,2,5,3,4,4,4,3,2,2,2,4,2,3,4,3,3,4,4,3,1,3,2,4,4,4,3,2
sub-60,2,3,4,5,4,4,4,4,4,4,2,4,5,5,4,3,5,2,4,2,5,2,3,4,4,4,4,4,2,5,4,4,4,4,3,2,4,3,2,4,1,4,2,4
sub-61,4,1,5,2,3,2,4,4,4,2,4,1,5,4,3,3,3,1,3,3,2,4,3,4,3,3,2,4,2,2,4,5,4,3,4,3,2,4,3,2,4,3,3,4
sub-62,4,4,4,5,4,2,3,4,2,5,4,2,5,5,4,4,2,2,5,4,3,4,2,2,4,3,2,4,4,2,4,1,3,3,2,2,4,4,5,4,3,4,5,2
sub-63,4,2,3,1,3,3,3,4,5,4,4,2,4,2,4,3,4,2,2,3,3,4,3,4,3,4,2,3,2,2,4,5,3,4,2,4,1,3,2,3,3,2,4,4
sub-64,5,1,5,2,5,1,5,5,4,5,5,1,5,3,5,5,5,1,4,5,1,5,1,1,5,5,1,5,1,5,2,5,5,4,5,5,1,5,4,5,1,5,4,5
sub-65,2,3,5,3,4,4,3,5,3,5,2,3,3,4,5,4,4,5,5,2,4,5,4,2,4,3,5,4,1,2,5,3,2,3,1,3,4,2,5,4,3,3,4,1
sub-66,5,3,2,3,4,1,1,4,2,5,3,4,2,2,4,5,4,5,4,4,3,2,4,2,5,2,1,4,2,5,1,2,1,1,1,4,5,2,2,5,1,4,5,5
sub-67,3,2,4,1,4,2,3,3,4,4,3,2,4,2,4,3,3,2,2,3,3,2,3,4,3,4,2,4,2,4,4,4,4,4,3,3,2,2,2,4,2,4,3,3
sub-68,1,3,4,3,5,4,2,5,4,5,2,1,3,4,5,5,4,4,4,5,4,5,4,2,4,1,3,3,3,4,5,4,2,3,1,2,4,1,4,5,2,2,5,2
sub-69,1,3,2,5,1,5,3,5,2,5,1,1,4,5,5,3,5,2,5,1,5,3,5,1,1,3,5,2,5,4,5,4,2,4,1,3,1,3,5,5,1,4,2,3
sub-70,2,2,4,4,3,5,3,4,3,3,2,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,4,4,4,4,4,4,3,2,3,2,4,3,2,2,4,4
sub-71,4,2,2,3,3,1,4,4,3,5,4,2,4,2,3,4,4,4,3,3,2,4,3,2,4,3,2,3,4,4,3,4,3,4,2,4,2,2,2,3,2,4,4,4
sub-72,2,4,4,3,2,4,4,4,2,5,3,1,3,5,3,4,4,4,5,3,5,4,4,3,3,2,4,4,4,2,4,4,2,2,4,3,2,2,5,3,3,4,4,3
sub-73,5,4,4,2,5,1,5,5,5,5,4,3,2,3,4,5,3,5,2,5,1,5,4,3,5,5,2,5,3,1,5,1,4,2,1,5,4,1,3,4,5,4,5,3
sub-74,4,2,4,4,3,2,3,4,2,4,3,3,3,4,4,4,3,2,4,3,3,4,2,2,3,3,2,4,2,3,3,3,4,3,4,4,3,5,4,3,2,3,3,4
sub-75,2,3,4,3,2,4,3,3,3,4,3,2,4,3,3,3,3,3,3,2,4,4,3,3,2,3,3,4,3,2,4,3,4,3,3,3,4,4,3,3,4,3,3,2
sub-76,2,2,3,2,4,3,5,5,4,5,3,1,4,2,4,4,5,4,4,4,4,4,4,2,4,2,1,4,3,2,4,5,4,5,2,2,4,2,2,5,2,4,4,3
sub-77,2,3,4,3,4,5,3,4,2,4,3,3,4,3,3,3,4,3,5,4,5,4,4,2,3,2,3,4,3,4,4,3,3,3,4,2,3,4,4,4,2,4,4,4
sub-78,4,5,5,5,5,4,5,5,2,4,4,2,1,5,3,3,3,5,5,5,5,5,5,3,4,1,4,5,4,5,5,5,1,1,1,4,5,1,5,4,1,3,5,4
sub-79,2,4,2,4,4,3,2,4,2,3,2,1,4,2,3,2,2,2,4,3,4,4,3,2,4,2,3,2,3,4,3,3,2,2,4,3,1,4,3,4,1,3,3,4
sub-80,4,2,3,4,4,2,4,4,2,4,4,4,3,4,2,4,4,3,4,4,2,4,4,2,4,2,1,2,5,4,2,3,2,2,2,5,3,4,5,5,4,4,4,2
sub-81,4,4,4,4,5,3,5,5,2,5,4,4,4,5,5,4,5,3,5,4,4,5,4,2,4,2,3,4,4,5,5,5,4,2,2,2,4,2,4,5,1,2,4,5
sub-82,2,1,3,1,3,4,3,3,5,4,3,1,4,3,3,2,5,3,1,3,4,5,5,5,4,3,3,3,1,3,3,4,3,5,3,2,1,2,1,3,4,3,4,3
sub-83,2,3,2,4,4,2,2,5,2,4,4,2,2,4,4,4,2,5,4,4,4,4,5,1,4,2,4,2,5,4,4,2,1,1,2,3,3,2,4,4,1,3,5,4
sub-84,3,4,2,1,3,2,5,4,4,5,4,2,3,4,3,4,5,4,5,4,2,5,5,4,3,2,1,4,2,4,5,4,3,4,2,2,1,1,5,3,2,2,5,3
sub-85,2,2,2,3,3,4,3,5,4,4,1,4,4,4,4,2,3,2,4,2,4,5,5,2,2,2,3,2,4,2,5,1,4,2,4,2,4,1,4,5,4,2,5,2
sub-86,3,2,4,1,4,2,3,4,3,4,4,2,4,4,3,3,4,3,4,2,2,4,4,3,3,2,3,4,2,4,4,4,3,3,4,3,3,3,4,3,2,4,4,4
sub-87,4,1,3,2,4,2,4,4,4,4,4,2,3,3,4,4,4,4,3,4,3,4,3,3,4,4,1,4,3,4,4,5,3,3,2,4,2,4,3,4,1,4,4,5
sub-88,4,2,4,1,3,2,4,4,4,4,5,2,4,4,4,4,3,4,2,3,2,4,3,4,3,4,3,4,3,4,5,3,3,2,1,4,4,3,5,5,2,4,5,4
sub-89,4,3,3,2,4,2,4,4,3,4,4,2,3,2,3,3,3,4,2,4,2,4,4,2,3,3,2,4,3,2,2,3,2,3,2,2,2,2,2,3,4,2,4,2
sub-90,2,2,1,3,4,4,2,5,3,4,3,1,3,4,5,2,2,4,5,5,4,2,4,2,4,2,4,2,5,2,5,2,4,4,1,2,3,1,4,5,4,4,3,2
sub-91,2,4,4,4,4,4,4,5,3,5,2,1,5,3,4,2,5,2,4,4,5,2,4,3,2,2,3,5,2,5,5,2,3,4,5,1,2,3,4,4,1,4,4,3