numb,item,categ,rever
A1,健談的,E,
A2,傾向挑人毛病,A,反
A3,會貫徹始終把事情做完,C,
A4,憂鬱的,N,反
A5,會創新、有新想法,O,
A6,沉默寡言,E,反
A7,樂於助人且無私的,A,
A8,有點粗心,C,反
A9,放鬆的，善於處理壓力,N,
A10,會對許多不同事物感到好奇,O,
A11,充滿活力,E,
A12,會開啟與他人的爭執,A,反
A13,可信賴的工作者,C,
A14,緊張的,N,反
A15,聰明的、會深思的人,O,
A16,有非常多熱情,E,
A17,有寬容本質,A,
A18,較沒有條理組織的,C,
A19,擔心很多的,N,反
A20,具有生動想像力,O,
A21,較安靜的,E,反
A22,通常容易信賴他人,A,
A23,較懶散的,C,反
A24,情緒上穩定、不容易煩躁,N,
A25,有創造力的,O,
A26,有果決個性的,E,
A27,對他人冷漠及疏離的,A,反
A28,會堅持到工作完成,C,
A29,情緒不穩定的,N,反
A30,重視藝術及美學經驗,O,
A31,有時會害羞、退縮的,E,反
A32,幾乎對所有人體貼且仁慈的,A,
A33,做事有效率的,C,
A34,在緊張情境也能保持冷靜,N,
A35,偏好例行性工作,O,反
A36,喜歡外出、好社交的,E,
A37,有時會粗魯對待他人,A,反
A38,會訂計畫並依計畫執行,C,
A39,容易感到緊張的,N,反
A40,喜歡思考、常有想法,O,
A41,對於藝術興趣很低,O,
A42,喜歡與他人合作,A,
A43,易於分心的,C,反
A44,懂得藝術、音樂和文學,O,