sub#,D1.我常常做白日夢或幻想一些可能發生在我身上的事情,D2.對比我不幸的人，我常會對他產生一種溫柔與關懷的心情,D3.我有時候很難以別人的觀點去看事情,D4.當別人遇到麻煩時，我有時候不會為他們感到難過,D5.看小說時，我相當能融入情節中人物的喜怒哀樂,D6.在緊急的狀況下，我容易不知所措,D7.看電影或戲劇時，我通常保持客觀冷靜，很少會有忘我或入迷的狀況,D8.當我做一個決定以前，我會試著先瞭解別人不同的意見,D9.當我看到別人被欺負時，會有一種想要保護她的感覺,D10.當我身處非常情緒化的情況時，有時我會感到無助,D11.我有時候會試著站在朋友的立場去看事情，因此對他們有更多的了解,D12.我很少會對一本書或一部電影，感到非常地著迷,D13.當我看到有人受傷時，我傾向保持冷靜,D14.我通常不會為了別人不幸的遭遇而深感困擾,D15.假如我確定自己的看法是對的，就不會花太多時間去傾聽別人的想法,D16.我曾經在看完一部電影或戲劇後，感覺自己好像就是劇中的某一個角色,D17.處於緊張的情緒狀態讓我感到害怕,D18.當我看到別人遭受不公平待遇時，有時候我並不會很同情他們,D19.通常我都能很有效率地處理緊急情況,D20.生活中有許多事情常常會令我很感動,D21.我相信每一個問題都有正、反兩面，我盡量以這兩個角度去看事情,D22.我會用「心腸很軟」來形容我自己,D23.看一部好電影時，我可以很輕易地把自己當作是劇中的主角,D24.我在緊急情況下往往會失控,D25.當我對別人生氣時，通常會暫時壓下怒氣，試著設身處地為他想一想,D26.當閱讀一篇有興趣的小說或故事時，我會想像若是故事中的事件發生在自己身上會有什麼感受,D27.當我看到別人在急難中而迫切需要幫助時，我也會跟著亂成一團,D28.在批評別人之前，我會先設想自己若在相同處境下，會有什麼感受
sub-01,5,4,2,2,5,2,2,4,4,4,2,1,5,4,2,4,4,2,4,5,4,2,4,2,3,4,2,2
sub-02,5,3,2,4,5,3,3,5,3,2,5,2,4,5,1,2,3,3,3,3,5,1,2,1,5,3,1,5
sub-03,4,5,2,2,4,2,2,4,5,4,5,1,4,2,3,4,5,1,4,3,4,2,3,2,4,4,2,5
sub-04,4,4,2,4,2,2,4,2,4,5,5,5,4,4,5,1,3,3,4,2,5,3,1,2,4,3,2,4
sub-05,3,4,4,2,2,2,5,4,4,5,5,5,5,4,5,2,4,5,4,2,5,4,1,1,2,3,1,3
sub-06,4,4,2,2,4,4,3,4,4,4,4,3,3,3,3,4,4,3,3,4,4,4,4,3,4,4,3,3
sub-07,4,5,2,4,5,2,2,5,5,5,5,1,4,4,2,5,2,2,4,5,5,3,5,1,4,5,1,5
sub-08,4,3,3,2,4,2,2,4,3,2,4,2,3,2,2,4,3,2,4,4,4,2,4,1,3,5,2,3
sub-09,4,5,1,2,4,3,2,4,4,2,4,1,4,2,2,2,2,1,4,4,5,4,3,2,4,4,2,4
sub-10,4,4,2,2,4,4,2,4,4,4,4,3,2,3,2,4,4,2,3,4,4,4,4,2,3,4,3,4
sub-11,2,4,2,3,4,2,2,4,4,2,4,1,2,3,4,4,2,2,4,3,4,2,1,1,3,5,2,4
sub-12,4,3,4,5,5,3,2,4,2,4,3,2,4,4,3,2,4,4,2,2,4,2,2,2,2,4,2,4
sub-13,4,4,2,2,4,2,2,4,4,3,4,2,4,2,2,4,3,3,4,4,3,3,2,2,4,4,2,4
sub-14,5,4,2,2,5,2,4,4,4,4,4,2,2,2,4,5,2,2,4,4,5,2,4,2,5,5,2,5
sub-15,4,4,2,2,4,4,2,4,3,4,4,2,3,2,2,4,4,2,3,3,5,2,3,2,4,4,3,4
sub-16,3,4,2,2,1,1,4,5,4,3,5,4,5,3,2,4,2,2,4,3,5,5,3,1,5,3,1,4
sub-17,5,5,2,2,5,2,1,4,5,4,4,4,2,2,4,4,2,4,4,3,3,5,4,2,2,5,2,2
sub-18,2,5,2,2,4,2,2,5,4,2,4,1,4,2,2,1,2,2,4,4,4,3,1,1,2,5,1,3
sub-19,4,4,3,4,4,3,3,3,3,4,3,2,4,2,3,2,3,3,3,3,4,3,2,2,3,4,3,3
sub-20,3,4,3,2,2,3,4,4,4,2,3,4,4,3,4,2,3,2,4,3,5,3,2,2,5,2,2,3
sub-21,3,3,2,3,4,4,3,4,4,3,4,3,4,4,3,2,3,2,3,4,4,3,3,2,4,3,2,3
sub-22,3,4,3,4,3,2,2,3,3,3,4,2,2,3,3,2,2,3,3,2,4,3,1,1,4,2,2,3
sub-23,4,4,2,3,4,4,2,4,4,4,4,1,4,4,2,3,4,2,2,4,4,4,3,2,4,4,2,4
sub-24,2,5,2,1,4,5,3,4,4,5,5,3,2,2,4,2,4,1,4,5,4,5,3,2,4,4,3,4
sub-25,5,4,2,4,5,4,2,4,4,5,4,1,4,4,5,5,4,4,4,4,4,2,5,2,4,5,2,5
sub-26,5,5,3,3,5,2,1,5,5,5,5,3,3,3,5,5,3,4,3,4,4,5,5,3,3,5,3,3
sub-27,2,2,3,4,4,2,5,4,2,2,3,2,4,3,2,4,2,4,4,3,4,1,4,1,4,4,1,3
sub-28,5,5,2,2,4,3,2,4,5,5,4,2,2,2,2,4,4,2,5,5,4,5,5,2,3,4,2,4
sub-29,4,4,2,2,4,4,1,4,4,4,3,1,2,2,4,3,4,2,2,5,4,5,2,2,1,2,3,1
sub-30,5,4,4,2,4,5,1,4,4,5,5,1,4,2,4,5,5,2,4,5,5,5,3,3,2,5,2,2
sub-31,4,5,2,1,4,4,1,4,5,5,5,1,3,1,1,4,4,1,4,5,2,4,4,3,4,4,3,3
sub-32,4,4,2,3,2,4,5,4,3,3,3,3,4,3,3,1,5,3,3,3,4,2,1,4,3,2,2,3
sub-33,4,4,3,1,3,4,1,4,5,2,4,1,5,2,1,4,4,2,2,5,3,4,4,1,4,5,3,4
sub-34,3,2,1,1,5,5,1,5,4,5,4,3,2,1,3,4,5,1,3,2,3,4,3,3,4,4,2,2
sub-35,4,4,2,2,4,4,2,4,4,4,4,2,2,3,4,4,4,2,2,4,4,4,4,2,4,4,4,4
sub-36,4,4,2,2,4,3,4,4,5,5,4,2,3,2,2,4,4,2,4,4,4,4,4,3,4,4,2,4
sub-37,5,4,2,2,4,4,2,3,2,5,3,5,3,4,4,2,2,3,3,2,3,5,2,3,4,2,2,4
sub-38,2,3,2,2,4,4,3,5,4,4,5,4,4,3,2,4,4,1,2,3,4,3,2,2,4,4,2,4
sub-39,4,4,5,2,4,5,4,4,4,4,5,2,3,4,2,4,3,1,4,4,5,4,3,2,4,5,2,3
sub-40,4,2,4,4,1,3,4,3,2,2,2,5,4,4,4,3,2,5,4,3,4,1,2,2,3,1,1,3
sub-41,4,5,3,5,4,3,2,4,4,4,3,2,4,2,4,4,3,4,3,4,4,4,4,1,3,3,2,3
sub-42,5,4,2,4,2,3,2,5,4,5,4,4,5,4,2,4,4,4,4,5,5,4,3,2,4,3,2,4
sub-43,3,5,2,2,5,2,1,4,4,4,4,2,2,4,4,5,4,2,4,2,3,4,3,2,4,4,3,3
sub-44,4,4,2,4,3,3,4,4,4,3,4,4,4,4,2,2,2,3,3,4,4,4,2,2,4,3,2,3
sub-45,4,4,4,4,2,4,3,4,4,4,4,2,3,3,3,4,4,3,2,3,3,4,4,4,4,4,4,4
sub-50,4,3,4,4,2,2,5,4,3,4,4,5,4,4,3,4,2,3,5,4,4,4,2,2,3,2,2,4
sub-51,4,1,1,5,4,2,5,2,3,4,5,2,5,5,4,2,4,5,5,2,5,1,2,2,3,2,1,5
sub-52,4,4,2,2,5,2,1,4,5,4,4,1,4,1,2,4,5,1,3,5,5,3,5,2,4,5,2,3
sub-53,5,5,2,3,4,2,1,4,5,2,4,1,2,4,3,4,5,1,3,4,4,5,3,2,4,4,2,4
sub-54,3,4,1,2,5,4,2,4,4,5,4,1,2,4,4,4,5,2,4,4,4,4,4,4,4,4,3,4
sub-55,4,4,4,1,5,4,2,4,3,5,5,1,4,2,1,2,4,1,4,5,4,2,1,2,4,1,2,4
sub-56,5,5,3,2,4,5,2,3,5,5,4,1,2,2,4,5,3,2,2,4,2,1,3,2,2,4,2,3
sub-57,4,5,2,2,4,2,1,5,5,5,4,2,2,2,4,5,2,2,4,5,5,5,2,2,4,4,2,4
sub-58,2,4,2,3,2,3,4,4,4,4,4,4,4,2,2,1,3,2,5,3,5,4,1,2,4,1,3,5
sub-59,4,4,1,4,3,2,4,4,3,5,4,4,5,4,4,4,2,4,3,2,4,3,3,1,3,4,2,4
sub-60,3,4,1,1,5,2,1,4,4,5,4,3,4,3,1,4,4,2,4,4,4,1,4,1,4,4,2,1
sub-61,4,2,2,4,3,2,4,4,3,3,3,4,4,5,3,2,4,4,4,2,4,2,2,2,3,4,2,3
sub-62,5,4,3,4,4,4,3,5,4,4,4,2,3,3,4,3,4,2,3,4,4,2,3,2,2,4,3,2
sub-63,4,5,2,3,4,3,1,4,4,4,5,2,4,3,3,4,2,3,4,4,4,4,3,2,3,4,3,4
sub-64,5,5,1,1,5,2,2,5,5,4,5,1,5,1,1,5,4,1,5,5,5,5,5,2,5,5,2,5
sub-65,5,4,4,3,5,4,1,3,5,3,4,1,3,2,5,4,5,1,2,1,1,4,3,3,4,5,4,3
sub-66,5,2,5,2,1,4,3,2,3,5,2,2,5,4,3,5,5,2,4,3,3,1,3,2,4,4,2,3
sub-67,4,4,2,3,3,2,3,4,3,4,4,4,4,4,2,2,3,3,4,3,4,2,3,1,3,4,2,3
sub-68,5,5,4,4,4,4,2,4,3,5,4,4,5,4,2,5,4,2,2,4,4,4,5,4,4,3,2,4
sub-69,3,2,2,4,2,5,5,5,1,5,4,2,5,5,1,1,5,5,1,1,5,3,1,3,4,1,1,2
sub-70,5,5,5,5,4,4,5,5,5,5,2,1,5,5,5,5,5,5,3,4,5,4,4,5,4,4,4,4
sub-71,4,3,2,3,4,2,3,4,3,4,4,2,4,4,2,4,2,4,4,4,4,4,4,2,4,4,2,3
sub-72,5,4,2,2,4,5,1,5,4,5,4,2,2,2,3,4,5,2,2,5,2,4,4,3,3,5,3,4
sub-73,5,5,3,3,2,3,2,5,3,4,3,1,4,5,2,4,4,1,4,3,4,4,3,2,3,4,2,4
sub-74,4,4,2,3,3,4,2,3,3,4,3,2,3,3,3,2,4,2,3,4,3,3,3,2,3,4,3,3
sub-75,2,3,3,3,2,4,3,3,3,3,2,4,3,3,4,2,4,3,3,2,4,4,2,3,2,3,3,3
sub-76,3,4,1,2,5,2,2,5,5,4,5,1,4,2,4,5,2,1,4,5,5,4,5,1,5,5,1,5
sub-77,3,4,4,3,5,4,3,4,4,4,4,2,3,3,2,4,4,2,3,3,2,2,4,3,3,4,3,4
sub-78,5,5,5,1,5,5,1,2,5,5,3,5,4,1,5,5,5,3,1,5,5,5,5,4,2,5,5,1
sub-79,4,4,2,2,4,3,2,4,4,4,4,1,2,3,2,3,3,2,2,5,3,2,3,2,4,4,3,4
sub-80,4,3,4,4,4,5,2,3,4,5,4,1,4,2,2,4,5,2,3,4,4,4,2,4,2,4,2,4
sub-81,4,4,2,2,4,4,2,4,4,5,4,1,4,2,2,4,5,1,4,4,5,5,4,2,2,4,4,3
sub-82,4,4,1,2,5,2,2,4,4,5,5,1,4,4,2,1,4,2,4,3,5,2,1,1,4,3,2,3
sub-83,4,4,3,4,4,5,2,4,4,5,5,1,2,2,4,5,5,3,1,4,4,4,3,4,3,4,4,4
sub-84,5,4,1,2,4,3,2,5,4,3,5,2,2,3,1,5,2,2,3,5,4,3,5,2,2,5,2,3
sub-85,2,3,2,4,4,2,2,5,3,4,4,1,4,2,2,4,3,2,4,2,4,4,1,2,4,2,2,4
sub-86,4,4,2,4,2,4,3,4,4,4,4,4,2,4,4,2,4,4,2,4,4,3,2,2,2,2,2,3
sub-87,4,4,2,1,4,4,2,4,4,4,4,2,3,2,3,4,4,2,3,5,4,4,3,3,3,4,3,4
sub-88,4,5,3,1,5,4,1,4,5,3,5,1,3,2,4,4,3,2,3,5,4,4,4,2,3,4,3,4
sub-89,4,4,2,4,3,3,2,3,2,4,4,4,5,2,3,2,3,4,4,4,4,2,2,3,4,4,2,3
sub-90,5,2,1,2,5,2,1,5,2,3,5,1,4,4,2,5,2,4,4,3,5,1,5,1,3,5,1,3
sub-91,5,5,2,5,4,3,2,4,4,5,5,2,5,4,4,5,4,4,4,2,4,3,4,3,4,5,2,4