sub#,B1.生活中的不確定感會讓我很受不了,B2.如果不能掌握所有我需要的訊息，我會覺得挫折,B3.我應該隨時為將來打算，以避免突發狀況發生,B4.一小件無法預知的事，就會搞砸我周全的計畫,B5.我總會想知道即將發生什麼事情,B6.我無法忍受突發狀況,B7.我應該在做事之前將所有事情都規劃好,B8.生活中的不確定感會造成我無法擁有滿意的生活,B9.在我該採取行動時，不確定感會讓我無法行動,B10.當我感到不確定時，我的能力就無法發揮,B11.即便是一些小疑慮，也能使我中斷自己正在做的事,B12.我必須遠離「狀況不明的情境」
sub-01,2,2,2,1,2,2,1,3,2,2,3,3
sub-02,4,4,5,4,2,3,3,3,3,4,4,3
sub-03,4,4,5,3,2,3,4,2,3,3,2,4
sub-04,4,4,3,2,4,1,4,3,5,4,4,2
sub-05,5,5,4,4,5,4,2,4,4,2,4,4
sub-06,4,4,4,3,4,2,3,3,4,2,3,4
sub-07,2,2,2,1,1,1,3,1,4,2,2,2
sub-08,3,3,4,2,4,2,4,2,3,3,3,3
sub-09,2,4,4,2,3,4,4,3,2,2,1,2
sub-10,4,4,4,4,5,3,4,4,4,4,4,4
sub-11,5,4,4,2,4,2,4,4,2,2,4,2
sub-12,5,5,4,3,4,2,3,3,4,4,4,4
sub-13,4,2,2,2,3,2,2,2,3,4,2,4
sub-14,4,4,4,2,4,2,4,2,2,2,2,2
sub-15,4,4,4,3,3,3,3,3,4,4,3,2
sub-16,2,2,4,1,3,2,3,1,2,3,2,3
sub-17,2,2,2,2,4,2,4,2,4,4,2,2
sub-18,4,4,3,2,1,2,3,2,2,2,2,2
sub-19,3,3,2,2,3,2,2,2,4,3,3,2
sub-20,4,3,4,2,4,2,5,3,4,3,4,2
sub-21,4,3,4,3,3,3,4,3,2,2,2,3
sub-22,4,4,3,2,3,2,4,4,2,2,3,3
sub-23,4,3,4,2,4,2,2,3,3,2,3,2
sub-24,3,3,4,3,2,3,4,3,4,3,4,3
sub-25,2,3,4,2,4,2,2,2,2,2,4,2
sub-26,4,4,4,4,5,4,2,3,3,3,5,2
sub-27,5,4,5,2,5,2,4,2,1,2,1,3
sub-28,4,5,5,3,4,2,2,2,4,4,5,4
sub-29,4,4,3,1,4,2,1,1,3,2,2,2
sub-30,5,5,2,5,4,5,2,4,4,4,5,4
sub-31,5,4,5,3,4,3,5,4,4,3,4,4
sub-32,5,4,4,5,5,4,5,3,4,4,4,2
sub-33,4,3,5,2,5,4,4,5,4,3,4,4
sub-34,5,5,5,3,4,2,5,4,4,4,2,3
sub-35,4,4,4,4,4,4,4,4,4,4,4,4
sub-36,5,5,4,4,4,3,4,4,4,2,2,3
sub-37,3,2,4,2,1,2,2,2,4,4,3,2
sub-38,2,2,4,1,4,1,4,4,4,4,3,3
sub-39,4,5,5,2,2,2,4,4,2,2,3,4
sub-40,4,4,4,2,4,2,4,4,3,2,2,4
sub-41,3,4,4,4,4,3,2,2,4,3,4,4
sub-42,2,2,4,1,3,1,4,2,5,2,4,3
sub-43,3,4,3,2,2,2,3,2,2,1,2,2
sub-44,3,2,2,2,2,2,3,2,2,2,4,3
sub-45,3,4,2,2,2,3,2,3,3,2,4,3
sub-50,2,2,4,3,4,2,2,1,3,4,4,3
sub-51,5,5,5,4,5,4,5,2,3,1,3,4
sub-52,2,4,1,2,1,3,1,2,1,1,2,1
sub-53,2,2,4,1,5,2,4,1,3,2,2,1
sub-54,3,4,3,2,4,2,2,2,3,4,3,3
sub-55,5,5,5,5,5,5,5,5,5,5,5,5
sub-56,4,4,3,4,4,4,2,3,3,2,4,4
sub-57,4,4,4,2,4,2,1,4,4,4,2,2
sub-58,4,4,4,3,5,2,4,4,2,2,3,3
sub-59,4,3,4,2,2,2,3,2,2,2,3,3
sub-60,2,4,2,1,4,2,4,2,1,1,1,1
sub-61,4,3,4,3,4,3,4,3,3,3,2,2
sub-62,4,4,4,4,4,3,4,4,3,4,4,4
sub-63,2,3,3,2,4,2,3,2,3,3,4,4
sub-64,3,1,5,2,5,1,5,3,1,1,3,4
sub-65,3,3,2,4,4,1,1,3,2,3,3,4
sub-66,5,3,5,5,5,5,4,5,4,4,4,4
sub-67,2,3,3,1,2,1,2,1,1,1,1,2
sub-68,4,4,4,2,1,2,2,2,3,4,3,2
sub-69,4,5,4,4,5,3,3,3,4,4,4,3
sub-70,4,4,2,2,4,4,2,4,4,3,2,3
sub-71,2,2,3,2,4,2,2,2,2,2,2,2
sub-72,3,4,4,3,3,4,3,3,4,4,4,2
sub-73,2,2,2,1,1,1,2,2,1,1,1,1
sub-74,5,4,4,4,5,4,5,4,3,3,4,4
sub-75,3,2,4,3,3,3,3,3,2,3,3,3
sub-76,4,4,5,2,4,2,5,2,2,2,4,4
sub-77,5,4,4,2,4,3,3,4,4,4,3,4
sub-78,1,2,1,5,5,4,5,5,5,5,5,5
sub-79,4,4,4,2,2,4,4,4,2,2,2,4
sub-80,4,4,4,4,4,4,4,4,4,4,3,4
sub-81,4,4,4,2,4,4,3,3,2,2,3,4
sub-82,2,3,3,2,2,2,3,3,2,3,2,2
sub-83,3,4,4,4,2,5,2,2,4,3,2,2
sub-84,3,3,4,4,5,2,3,2,4,4,5,4
sub-85,2,2,2,1,3,1,1,2,2,2,2,2
sub-86,1,3,2,1,4,2,1,1,1,2,3,3
sub-87,3,3,3,2,2,2,4,2,1,1,3,2
sub-88,4,3,2,1,2,3,2,2,3,3,3,4
sub-89,4,3,4,2,3,2,3,2,1,2,2,2
sub-90,3,4,5,2,4,2,3,1,3,1,2,3
sub-91,4,5,3,2,4,2,3,4,5,4,4,5