sub#,E1.感興趣的,E2.憂傷的,E3.興奮的,E4.苦惱的,E5.強大的,E6.有罪惡感的,E7.驚嚇的,E8.有敵意的,E9.熱情的,E10.自豪的,E11.易怒的,E12.警覺、靈活的,E13.羞愧的,E14.激勵的,E15.焦慮的,E16.有決心的,E17.專注、小心翼翼的,E18.緊張不安的,E19.積極的,E20.害怕的
sub-01,4,4,2,3,2,2,1,3,2,3,1,2,4,3,4,4,5,4,1,3
sub-02,5,4,3,4,2,4,1,1,2,2,3,3,1,1,4,2,2,3,2,2
sub-03,2,2,1,4,4,3,1,3,4,4,1,5,2,4,4,2,5,4,3,4
sub-04,4,4,3,5,1,1,1,1,1,2,1,1,1,2,5,3,2,3,3,3
sub-05,2,2,4,4,4,4,1,1,2,3,5,5,1,4,4,4,4,2,4,1
sub-06,4,2,4,3,3,2,2,1,3,3,2,3,1,3,4,3,3,4,3,3
sub-07,2,4,4,4,1,4,1,1,4,1,4,5,3,2,4,1,1,4,3,1
sub-08,4,2,3,2,3,2,1,1,4,3,2,4,1,3,2,3,2,2,3,2
sub-09,4,2,3,4,4,1,1,1,2,4,2,5,1,4,4,5,4,3,4,2
sub-10,4,3,2,4,2,2,2,2,3,2,2,4,2,4,4,4,4,3,3,3
sub-11,3,2,2,4,4,1,1,1,3,2,2,4,1,4,4,3,3,2,3,4
sub-12,3,2,2,4,3,2,1,2,2,2,3,2,1,1,3,2,3,3,3,2
sub-13,4,3,2,2,2,1,1,1,3,2,2,3,1,3,3,2,3,2,4,2
sub-14,4,2,4,2,2,5,1,4,2,4,1,4,2,2,2,2,2,2,2,1
sub-15,3,5,3,4,2,3,3,3,2,2,3,3,3,4,5,2,4,4,3,4
sub-16,4,2,3,2,1,1,1,1,3,3,1,4,1,4,1,4,4,1,4,1
sub-17,4,4,5,2,3,2,2,2,5,4,4,3,2,3,2,1,1,2,3,2
sub-18,5,2,2,5,2,3,5,1,5,5,1,1,1,5,5,5,5,3,3,3
sub-19,4,4,4,5,3,2,2,3,3,3,4,3,4,3,4,1,3,3,2,4
sub-20,3,4,3,4,2,1,1,1,3,2,3,3,1,2,1,3,4,3,2,2
sub-21,3,2,3,2,3,2,2,2,3,3,2,3,2,3,3,4,3,2,4,2
sub-22,4,2,3,3,1,2,1,1,2,3,1,3,1,2,2,1,3,1,1,1
sub-23,4,3,2,5,2,2,2,2,3,2,2,2,2,3,5,4,4,5,3,4
sub-24,4,5,4,5,2,4,3,3,5,3,4,5,4,3,5,4,5,5,4,3
sub-25,4,4,4,4,2,4,4,4,4,2,2,3,2,2,5,2,4,4,3,4
sub-26,3,2,4,3,1,4,1,1,4,3,3,3,1,1,2,2,2,2,2,3
sub-27,4,3,4,3,3,1,1,1,4,4,1,4,2,4,4,4,4,2,5,1
sub-28,4,4,4,4,5,4,4,4,4,4,2,4,4,2,5,5,4,4,4,2
sub-29,4,4,4,4,1,4,4,2,3,2,2,2,2,2,4,2,2,4,4,2
sub-30,4,5,4,2,5,2,2,2,4,4,4,4,1,2,5,4,4,5,5,3
sub-31,3,2,3,3,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,1
sub-32,4,2,3,4,1,3,1,3,2,3,2,3,1,4,3,3,3,3,3,1
sub-33,5,2,4,4,2,4,1,1,1,1,1,1,3,5,2,5,5,5,2,3
sub-34,4,2,4,5,5,1,1,2,3,3,1,2,1,1,3,5,4,4,4,2
sub-35,2,4,2,4,2,2,2,2,2,2,2,2,3,2,4,3,4,4,3,4
sub-36,4,2,4,2,3,1,1,1,3,5,3,4,1,4,3,4,4,4,4,2
sub-37,3,1,4,4,2,4,1,3,3,4,2,4,1,5,4,3,4,4,4,2
sub-38,4,2,3,2,4,1,2,2,3,3,3,4,2,4,4,4,4,4,3,3
sub-39,4,2,4,4,2,3,2,1,4,2,2,4,4,3,2,4,3,2,4,2
sub-40,2,3,2,3,3,1,3,1,1,3,1,1,1,2,3,3,4,2,3,2
sub-41,4,4,3,5,3,1,1,1,3,2,3,3,2,3,5,4,4,4,4,2
sub-42,4,4,4,4,4,4,2,1,4,4,2,4,4,5,4,2,2,4,4,4
sub-43,4,5,2,4,2,4,1,1,2,2,3,2,4,2,4,2,4,4,4,4
sub-44,3,4,4,4,3,1,2,1,4,3,3,4,4,4,4,4,4,4,4,4
sub-45,4,3,4,4,4,4,3,3,3,4,4,3,4,3,4,4,4,3,4,3
sub-50,4,1,5,1,3,1,1,1,3,1,1,1,1,2,1,1,1,1,4,1
sub-51,4,5,2,5,4,5,4,3,1,2,3,4,3,2,5,5,5,5,4,4
sub-52,4,3,4,4,2,4,4,1,3,4,1,5,4,2,4,1,3,4,3,4
sub-53,5,2,5,3,2,4,4,4,5,4,2,4,4,5,5,5,4,5,5,5
sub-54,5,4,4,4,3,2,2,4,3,3,3,2,3,3,4,4,4,4,4,3
sub-55,4,2,2,4,1,1,1,1,2,4,1,1,1,4,4,3,5,3,2,1
sub-56,3,4,4,2,2,4,2,2,2,2,4,1,2,1,4,1,1,2,1,1
sub-57,5,4,4,5,2,4,1,1,4,4,2,3,2,2,4,3,2,4,2,2
sub-58,4,4,3,4,4,3,2,2,2,3,2,4,1,3,5,5,5,3,4,3
sub-59,4,3,4,4,4,2,2,2,3,3,1,2,1,3,4,4,2,1,3,3
sub-60,3,5,2,4,4,4,4,2,3,2,4,4,1,1,4,4,4,2,4,2
sub-61,3,4,2,5,4,1,4,2,4,4,2,4,2,4,5,5,4,5,5,4
sub-62,4,5,4,4,2,4,2,3,4,2,3,4,4,4,5,2,4,4,4,4
sub-63,4,2,4,2,3,1,1,1,4,4,1,2,1,4,4,4,4,2,4,1
sub-64,5,1,5,2,5,1,1,1,5,5,1,5,1,5,2,5,5,2,5,2
sub-65,5,3,4,5,2,2,3,4,2,3,2,1,1,3,5,4,2,4,3,5
sub-66,5,4,4,4,2,5,3,4,4,2,2,1,5,1,5,1,4,4,3,4
sub-67,4,2,3,3,4,1,1,1,3,3,3,3,1,3,3,4,3,2,4,2
sub-68,5,4,2,5,1,4,4,1,2,1,1,4,4,3,2,4,4,5,3,2
sub-69,4,4,2,4,2,2,2,2,2,2,1,1,1,1,5,5,1,5,2,4
sub-70,4,5,3,5,3,5,5,3,4,3,5,4,4,4,4,4,4,5,3,5
sub-71,2,4,4,4,2,3,2,2,2,1,4,2,2,3,5,2,2,4,2,3
sub-72,2,5,2,5,3,4,3,2,3,1,5,3,4,2,5,3,4,5,3,5
sub-73,4,3,5,2,5,1,2,2,5,5,2,3,2,2,2,2,2,2,5,2
sub-74,3,4,3,4,2,3,3,2,3,3,3,4,3,4,5,3,4,5,3,4
sub-75,2,3,2,4,3,4,3,2,2,3,3,3,3,3,4,3,3,3,2,2
sub-76,5,4,4,5,5,2,2,2,5,5,3,4,2,5,5,5,5,5,5,5
sub-77,3,4,3,4,3,1,2,4,3,3,3,3,3,3,4,3,4,4,3,4
sub-78,4,5,4,5,2,5,3,5,5,3,3,4,2,4,5,5,5,5,4,4
sub-79,3,3,4,2,2,2,1,1,2,1,1,2,4,3,4,3,2,1,2,2
sub-80,4,4,4,5,2,4,4,1,4,1,4,3,1,3,5,2,4,5,4,4
sub-81,4,4,4,5,2,1,1,4,4,3,4,1,1,3,4,4,2,4,4,4
sub-82,3,1,3,1,4,1,1,1,3,3,1,2,1,3,1,3,4,2,3,1
sub-83,4,3,4,5,2,3,2,3,3,3,4,2,2,4,5,3,3,4,4,4
sub-84,5,2,4,5,3,1,1,1,3,2,3,2,1,2,5,2,1,4,3,4
sub-85,4,4,5,5,2,5,2,2,3,5,4,4,4,4,4,2,3,4,2,4
sub-86,5,2,2,4,2,1,1,1,4,3,4,2,1,4,5,4,5,5,5,4
sub-87,4,3,3,3,2,2,2,2,3,3,2,4,2,3,3,4,4,3,4,3
sub-88,5,4,5,3,3,2,1,1,4,3,3,1,4,4,3,4,2,2,4,2
sub-89,4,1,4,3,2,2,1,1,3,2,1,2,1,2,2,3,2,2,3,1
sub-90,3,1,3,1,2,1,1,1,1,2,1,4,1,3,3,2,1,1,3,1
sub-91,4,4,4,2,1,4,1,4,1,2,2,3,4,2,3,2,3,2,2,2