sub#,C1.我不喜歡不確定的情況,C2.我不喜歡能有多個回答方式的問題,C3. 一個有秩序及有規律的生活適合我的性情,C4.當我不明白我生活中發生某件事的原因時，我會感到不舒服,C5.當只有一個人不同意團隊中其他人的看法時，我會感到不耐煩,C6.我不喜歡進入一個我不知道該期望什麼的情況,C7.當我做出決定時，我感到如釋重負,C8.當我遇到問題時，我渴望很快找到解決方案,C9.如果我不能立即找到解決問題的方法，我很快就會變得不耐煩和煩躁,C10.我不喜歡跟那些能作出不可預料行為的人在一起,C11.我不喜歡當別人說的話有多重意思時,C12.我覺得建立一個一致的生活習慣能令我更加享受生活,C13.我喜歡擁有清晰而有條理的生活方式,C14.在形成自己的觀點之前，我通常不會諮詢許多不同的意見。,C15.我不喜歡不可預測的情況
sub-01,4,2,2,5,5,5,4,4,3,2,2,3,4,2,4
sub-02,4,2,2,4,3,4,1,3,4,2,2,2,3,2,3
sub-03,5,2,4,5,2,6,5,5,2,2,1,4,5,2,4
sub-04,6,6,6,5,4,5,5,3,2,1,3,6,6,3,6
sub-05,5,2,4,5,5,6,6,6,6,2,2,4,4,2,4
sub-06,4,3,4,4,2,4,4,4,3,3,3,4,4,3,4
sub-07,3,1,2,5,5,5,6,4,3,2,3,3,4,2,3
sub-08,3,2,5,3,2,5,4,5,2,3,3,3,5,3,3
sub-09,4,1,4,2,1,2,2,4,3,4,1,4,4,5,4
sub-10,4,4,5,5,3,5,5,5,4,3,4,5,5,3,5
sub-11,5,2,5,4,2,4,2,6,3,4,5,5,5,2,5
sub-12,5,4,5,5,4,5,4,6,6,3,5,5,5,3,5
sub-13,4,3,5,5,3,4,5,5,2,2,4,4,5,2,4
sub-14,4,2,2,5,2,2,5,5,5,2,2,2,2,2,2
sub-15,4,3,4,4,3,5,5,3,3,3,3,4,4,2,3
sub-16,3,2,2,2,2,3,4,2,1,2,1,3,4,1,3
sub-17,3,1,2,3,4,4,3,3,3,2,4,3,3,1,3
sub-18,5,2,3,2,3,1,5,5,4,4,2,4,4,1,3
sub-19,3,4,2,3,3,4,3,3,2,3,4,2,2,3,3
sub-20,4,3,4,4,3,4,4,3,3,3,4,4,5,5,3
sub-21,4,3,4,4,3,4,3,4,3,3,3,4,4,2,3
sub-22,2,2,3,4,3,4,5,5,3,3,2,4,4,5,2
sub-23,5,4,4,4,3,5,2,5,4,3,4,3,3,5,5
sub-24,4,5,6,4,4,3,5,5,4,3,4,5,5,2,4
sub-25,2,1,4,4,5,5,4,5,5,3,2,4,4,4,3
sub-26,5,3,4,6,6,5,5,6,6,4,3,4,5,2,4
sub-27,6,2,4,4,2,5,6,5,3,4,2,4,5,2,4
sub-28,5,4,2,6,3,4,6,5,5,2,5,3,5,1,4
sub-29,3,2,4,1,2,2,4,4,5,1,1,3,4,1,3
sub-30,5,1,2,5,4,6,6,6,5,2,3,1,6,1,5
sub-31,4,4,5,6,5,6,5,6,5,4,5,5,5,1,5
sub-32,5,5,5,4,3,6,5,4,4,2,3,4,4,4,6
sub-33,5,3,6,4,1,6,4,6,2,3,2,5,5,3,4
sub-34,6,4,5,5,6,4,6,6,4,4,4,5,4,1,5
sub-35,4,2,4,4,2,2,5,4,4,2,2,4,4,2,4
sub-36,5,2,5,4,6,5,5,5,5,3,3,5,5,2,5
sub-37,4,3,2,2,3,3,5,5,4,6,6,4,3,5,3
sub-38,5,4,5,4,4,5,4,4,2,2,4,4,5,2,2
sub-39,5,3,5,3,2,5,3,5,4,4,4,5,5,2,5
sub-40,4,3,6,4,2,3,5,5,5,5,5,6,6,2,3
sub-41,4,5,5,5,6,4,6,6,5,6,4,4,5,5,3
sub-42,3,3,5,5,4,5,5,5,5,5,3,5,4,2,3
sub-43,4,3,6,5,3,5,5,5,5,4,5,5,5,2,4
sub-44,4,2,3,5,2,5,4,4,4,3,6,2,5,5,3
sub-45,3,4,5,4,4,4,4,4,4,3,4,4,4,3,4
sub-50,4,2,5,4,4,3,2,5,3,5,5,3,3,5,3
sub-51,5,2,3,6,6,5,2,5,5,6,1,5,4,5,5
sub-52,2,4,1,2,2,4,2,4,3,1,5,1,2,2,2
sub-53,4,2,2,5,4,5,6,5,4,4,3,4,5,1,4
sub-54,5,3,2,5,4,4,4,6,5,3,3,2,2,1,3
sub-55,6,6,6,6,4,6,4,6,4,2,5,6,6,1,6
sub-56,5,2,4,2,2,4,2,3,5,5,6,3,2,2,6
sub-57,5,5,3,4,2,3,5,4,3,2,5,3,3,1,2
sub-58,5,4,5,5,2,5,5,5,4,4,5,5,5,3,5
sub-59,3,4,4,3,2,3,5,6,3,2,4,4,4,2,2
sub-60,3,1,4,3,5,2,2,4,2,3,2,2,4,3,3
sub-61,4,4,5,3,5,5,4,4,4,3,3,4,4,2,4
sub-62,5,2,4,4,3,6,3,5,5,3,4,4,4,2,5
sub-63,5,2,3,4,4,5,6,6,3,3,3,4,3,2,3
sub-64,2,1,4,2,4,2,6,6,4,1,5,5,6,1,2
sub-65,2,1,2,4,2,5,6,3,2,2,5,3,4,2,3
sub-66,5,5,5,5,5,4,5,2,5,5,5,5,5,2,5
sub-67,2,2,2,3,2,4,4,4,2,3,2,2,4,2,2
sub-68,5,5,2,4,2,5,6,6,5,2,4,3,4,5,5
sub-69,4,2,2,5,1,1,2,6,6,1,4,1,2,1,3
sub-70,4,3,4,4,4,4,4,4,4,4,4,4,5,5,4
sub-71,2,2,1,2,2,4,4,4,3,2,3,2,2,2,3
sub-72,4,2,5,5,3,5,6,5,4,4,6,5,5,2,4
sub-73,2,1,1,1,1,5,2,4,4,1,2,1,2,1,1
sub-74,5,4,5,5,3,4,6,5,5,4,4,5,5,3,5
sub-75,4,3,4,4,3,4,5,4,4,3,4,4,4,4,4
sub-76,5,1,2,5,1,5,4,6,4,1,1,4,4,1,4
sub-77,4,2,4,4,4,5,5,5,3,4,3,3,4,2,4
sub-78,4,5,3,5,6,6,6,5,2,1,1,2,4,6,5
sub-79,4,2,4,5,2,5,4,4,4,3,4,4,4,2,4
sub-80,5,4,4,6,6,5,6,5,6,5,5,5,5,2,5
sub-81,3,1,2,5,3,4,5,5,5,4,2,4,4,3,4
sub-82,4,5,4,4,5,5,5,6,4,2,5,3,3,3,3
sub-83,4,2,4,4,4,5,6,6,4,2,2,3,3,2,4
sub-84,3,2,3,4,5,4,6,4,4,3,5,4,4,1,4
sub-85,3,2,3,2,2,3,4,5,2,2,3,3,5,2,2
sub-86,4,5,6,3,4,5,5,5,4,3,3,4,5,2,4
sub-87,3,2,2,3,1,5,4,4,3,2,2,3,4,2,2
sub-88,5,2,3,3,1,4,5,5,2,1,1,3,3,2,3
sub-89,2,2,2,3,3,5,5,4,4,3,5,3,3,2,3
sub-90,3,1,1,4,1,5,1,4,1,1,1,1,2,1,2
sub-91,4,3,5,4,5,6,4,6,4,2,3,4,4,3,2