sub#,F1.權力 (社會權力、權威、財富),F2.成就 (成功、能力、企圖心、對人和事件的影響力 ),F3.享樂主義 (滿足慾望、享受生活、自我放縱 ),F4.刺激 (大膽、多姿多彩、充滿挑戰的生活、精彩萬分的生活),F5.自我發展 (創造力、自由、好奇心、獨立性、選擇自己的目標),F6.普遍性 (胸懷寬廣、自然與藝術之美、社會正義、世界和平、平等、智慧、與自然合一、環境保護),F7.仁慈 (樂於助人、誠實、寬恕、忠誠、責任),F8.傳統 (尊重傳統、謙遜、接受命運、奉獻、謙虛),F9.遵從 (服從、孝敬父母和長輩、自律、禮貌),F10.安全 (國家安全、家庭安全、社會秩序、潔淨、互利互惠)
sub-01,4,5,6,5,7,7,7,1,2,5
sub-02,4,5,5,6,7,7,7,7,7,7
sub-03,6,7,4,5,7,8,7,3,5,6
sub-04,5,7,5,4,2,4,7,2,5,6
sub-05,6,7,7,6,6,2,5,6,6,5
sub-06,6,6,7,5,5,6,7,5,6,5
sub-07,6,7,4,5,6,4,6,3,7,3
sub-08,7,7,6,7,7,5,6,5,5,5
sub-09,4,6,6,3,7,6,8,4,4,4
sub-10,5,7,7,5,7,7,8,8,8,7
sub-11,5,7,4,8,8,7,7,4,7,4
sub-12,6,6,6,7,5,6,5,4,4,5
sub-13,3,5,5,3,4,6,5,3,4,5
sub-14,6,7,7,3,6,6,5,6,6,7
sub-15,4,6,6,5,6,5,5,5,4,4
sub-16,6,6,7,7,7,7,7,6,6,7
sub-17,4,6,8,8,8,6,8,5,6,7
sub-18,7,7,7,7,7,5,7,7,7,7
sub-19,2,3,7,5,5,3,4,3,3,4
sub-20,5,7,5,4,8,7,7,6,7,7
sub-21,6,6,4,6,7,4,6,4,4,4
sub-22,5,4,6,3,7,4,4,4,6,3
sub-23,3,6,8,5,7,4,7,3,5,4
sub-24,5,6,7,4,7,8,8,8,8,7
sub-25,5,7,7,6,6,7,6,4,4,6
sub-26,7,7,4,8,8,5,7,8,8,4
sub-27,7,7,4,5,5,3,4,6,6,4
sub-28,5,6,7,7,8,8,6,5,2,3
sub-29,5,7,7,4,7,7,6,4,7,6
sub-30,7,8,7,7,8,7,7,5,5,5
sub-31,7,8,6,7,8,8,8,6,7,7
sub-32,7,4,7,6,6,4,6,3,5,5
sub-33,3,8,6,6,8,7,5,6,7,4
sub-34,8,7,8,5,5,3,5,1,4,7
sub-35,5,6,7,7,7,7,7,5,7,7
sub-36,7,6,7,7,8,8,8,6,6,6
sub-37,7,7,8,5,8,5,8,5,6,7
sub-38,6,7,6,5,7,6,6,6,6,6
sub-39,7,6,5,7,6,4,6,3,6,5
sub-40,8,4,7,3,8,1,4,6,6,3
sub-41,8,8,8,8,6,6,7,4,4,7
sub-42,6,6,3,4,6,4,7,5,5,7
sub-43,3,7,4,3,7,7,7,7,7,7
sub-44,5,8,7,3,8,4,6,7,5,7
sub-45,6,7,7,6,6,6,7,6,7,7
sub-50,3,3,3,4,4,5,8,4,4,3
sub-51,5,7,6,3,8,5,3,5,2,6
sub-52,3,6,6,4,7,6,5,3,3,5
sub-53,7,7,7,5,8,8,8,5,3,7
sub-54,6,8,8,8,8,3,4,2,3,2
sub-55,3,6,8,5,2,1,3,1,6,5
sub-56,5,3,5,5,3,2,7,2,7,4
sub-57,4,5,7,7,8,5,6,2,5,4
sub-58,5,6,2,2,2,5,7,5,4,6
sub-59,8,7,8,5,6,2,4,2,5,4
sub-60,5,6,4,4,7,7,7,4,5,3
sub-61,7,6,6,3,3,2,5,4,5,6
sub-62,8,6,5,7,7,4,5,2,1,6
sub-63,6,7,5,5,5,7,7,4,7,5
sub-64,6,8,7,8,8,8,8,8,8,8
sub-65,5,7,6,6,8,6,5,4,4,6
sub-66,7,7,7,7,8,3,5,1,3,5
sub-67,6,7,6,7,8,6,6,4,5,5
sub-68,3,6,7,7,8,4,6,2,2,5
sub-69,6,7,8,8,8,8,1,1,5,3
sub-70,6,7,6,4,5,5,5,3,5,7
sub-71,5,7,7,7,7,3,5,2,2,1
sub-72,5,8,7,7,8,5,7,5,5,5
sub-73,7,6,7,8,7,8,8,4,4,5
sub-74,4,6,5,5,7,6,7,3,4,5
sub-75,6,6,6,6,5,4,5,3,3,3
sub-76,6,7,6,6,6,5,8,4,5,6
sub-77,5,5,5,3,6,5,4,3,4,5
sub-78,3,3,8,7,8,8,8,1,2,1
sub-79,6,7,6,5,5,4,6,4,3,4
sub-80,6,7,6,8,7,4,6,2,4,7
sub-81,5,7,4,6,8,8,8,2,6,7
sub-82,2,2,4,4,8,8,8,3,4,7
sub-83,3,7,7,6,7,5,5,3,5,5
sub-84,6,7,7,7,8,7,8,4,4,8
sub-85,6,5,6,4,5,3,3,2,3,3
sub-86,6,7,5,4,7,4,5,4,4,5
sub-87,5,5,5,7,7,7,7,6,4,5
sub-88,5,7,8,8,8,7,6,4,5,5
sub-89,3,6,5,7,7,6,7,5,7,7
sub-90,6,7,8,4,7,1,3,3,4,1
sub-91,5,6,6,6,7,7,6,4,6,7